,High,Low,Open,Close,Volume,Adj Close
2005-01-03,14267.20996,14150.01953,14216.04004,14237.41992,145563000,14237.41992
2005-01-04,14198.50977,13991.2002,14198.50977,14045.90039,397498200,14045.90039
2005-01-05,13941.12988,13709.58008,13939.01953,13764.36035,530200600,13764.36035
2005-01-06,13789.15039,13672.55957,13718.79004,13712.04004,418761600,13712.04004
2005-01-07,13771.4502,13403,13698.16016,13574.86035,571206400,13574.86035
2005-01-10,13605.01953,13435.42969,13573.41992,13531.38965,317377800,13531.38965
2005-01-11,13649.42969,13455.30957,13609.30957,13509.25,340797200,13509.25
2005-01-12,13565.30957,13352.70996,13456.54004,13565.30957,336973200,13565.30957
2005-01-13,13631.41016,13533.00977,13570.21973,13573.28027,396311200,13573.28027
2005-01-14,13582.54004,13411.30957,13509.45996,13494.78027,473364600,13494.78027
2005-01-17,13636.76953,13528.11035,13529.08008,13621.65039,261016000,13621.65039
2005-01-18,13621.95996,13489.99023,13621.95996,13604.21973,289845400,13604.21973
2005-01-19,13700.94043,13586.33984,13634.00977,13678.62988,304025000,13678.62988
2005-01-20,13585.66992,13500.58008,13550.98047,13543.58984,460342600,13543.58984
2005-01-21,13518.69043,13432.45996,13495.92969,13481.01953,476200200,13481.01953
2005-01-24,13483.12988,13320.53027,13449.87988,13386.99023,450783600,13386.99023
2005-01-25,13594.86035,13356.24023,13378.83984,13584.05957,319826200,13584.05957
2005-01-26,13652.4502,13558.03027,13599.2002,13623.67969,365578200,13623.67969
2005-01-27,13750.48047,13596.41016,13636.74023,13628.91016,374447400,13628.91016
2005-01-28,13679.30957,13559.98047,13633.67969,13650.05957,268381200,13650.05957
2005-01-31,13762.86035,13581.19043,13625.23047,13721.69043,352642200,13721.69043
2005-02-01,13736.63965,13522.42969,13714.41992,13578.25977,407254000,13578.25977
2005-02-02,13607.87988,13454.40039,13573.63965,13555.7998,321787800,13555.7998
2005-02-03,13586.84961,13456.13965,13525.88965,13515.33008,404907400,13515.33008
2005-02-04,13623.59961,13470.48047,13495.70996,13585.16992,425729600,13585.16992
2005-02-07,13816.86035,13749.08008,13749.08008,13795,383247000,13795
2005-02-08,13863.99023,13788.33008,13806.55957,13845.62988,218206400,13845.62988
2005-02-14,14043.94043,13943.45996,14006.54004,14017.23047,425991600,14017.23047
2005-02-15,14065.66016,13978.24023,14042.37988,13995.83008,304097400,13995.83008
2005-02-16,14044.83008,13962.48047,14029.5,14015.49023,302049600,14015.49023
2005-02-17,14037.62012,13936.62988,14024.12988,13967.82031,256355000,13967.82031
2005-02-18,14093.42969,13898.91992,13933.91992,14087.87012,323290800,14087.87012
2005-02-21,14113.92969,14045.70996,14072.41016,14111.65039,282806200,14111.65039
2005-02-22,14118.23047,14022.05957,14095.88965,14090.51953,296063200,14090.51953
2005-02-23,13964.75977,13907.54004,13933.71973,13957.94043,357029600,13957.94043
2005-02-24,14060.91016,13956.13965,13970.63965,14060.91016,301496800,14060.91016
2005-02-25,14207.53027,14103.12012,14103.12012,14157.08984,418029600,14157.08984
2005-02-28,14272.54004,14141.78027,14204.86035,14195.34961,398278800,14195.34961
2005-03-01,14085.84961,13954.58008,14031.21973,14061.15039,274503200,14061.15039
2005-03-02,14066.75977,13817.45996,14039.84961,13850.78027,375846200,13850.78027
2005-03-03,13909.11035,13785.38965,13816.82031,13892.37012,277068800,13892.37012
2005-03-04,13922.42969,13692.38965,13906.00977,13730.78027,395828200,13730.78027
2005-03-07,13872.62012,13749.25,13829.83984,13771.9502,250703400,13771.9502
2005-03-08,13889.42969,13736.17969,13763.13965,13881.70996,303182800,13881.70996
2005-03-09,13996.45996,13871.26953,13915.36035,13941.46973,299302800,13941.46973
2005-03-10,13874.20996,13742.24023,13811.36035,13856.01953,482474800,13856.01953
2005-03-11,13909.29004,13781.41992,13859.88965,13890.92969,350892600,13890.92969
2005-03-14,13935.11035,13816.25,13832.94043,13906.84961,286057800,13906.84961
2005-03-15,13886.83008,13763.54004,13886.83008,13816.75,316214000,13816.75
2005-03-16,13838.23047,13647.05957,13709.84961,13832.51953,344711200,13832.51953
2005-03-17,13858.41992,13699.70996,13723.25,13817.99023,340115800,13817.99023
2005-03-18,13907.05957,13779.76953,13865.0498,13828.37012,281040800,13828.37012
2005-03-21,13865.12012,13786.79004,13822.9502,13834.34961,170979400,13834.34961
2005-03-22,13822.87988,13757.65039,13800.83008,13776.46973,264343800,13776.46973
2005-03-23,13643.99023,13564.61035,13602.90039,13603.61035,386965600,13603.61035
2005-03-24,13612.98047,13547.83984,13591.94043,13597.09961,300039600,13597.09961
2005-03-29,13552.09961,13380.91016,13552.09961,13411.87988,401276400,13411.87988
2005-03-30,13460.00977,13357.16992,13404.59961,13425.75,312026400,13425.75
2005-03-31,13556.13965,13482.49023,13515.37988,13516.87988,427842000,13516.87988
2005-04-01,13518.62988,13397.59961,13495.66016,13491.34961,323861600,13491.34961
2005-04-04,13545.30957,13436.95996,13474.36035,13513.41016,287550800,13513.41016
2005-04-06,13612.04004,13505.78027,13537.37988,13562.25977,355905600,13562.25977
2005-04-07,13619.87012,13538.40039,13605.41992,13602.34961,264334800,13602.34961
2005-04-08,13686.99023,13636.34961,13670.79004,13666.71973,245676800,13666.71973
2005-04-11,13668,13606.38965,13614.0498,13659.92969,242422400,13659.92969
2005-04-12,13678.63965,13622.70996,13660.65039,13658.0498,165573600,13658.0498
2005-04-13,13808.50977,13665.40039,13695.67969,13799.62012,230154200,13799.62012
2005-04-14,13788.67969,13707.66992,13741.16992,13772.40039,323550000,13772.40039
2005-04-15,13672.74023,13579.16016,13672.74023,13638.75,299358000,13638.75
2005-04-18,13424.66016,13337.44043,13382.01953,13355.23047,502135000,13355.23047
2005-04-19,13503.29004,13428.38965,13430.15039,13444.08984,224729200,13444.08984
2005-04-20,13567.94043,13489.12988,13534.24023,13501.62988,187061600,13501.62988
2005-04-21,13639.86035,13401.86035,13407.57031,13597.30957,312422000,13597.30957
2005-04-22,13727.44043,13649.5,13684.58984,13693.5498,300321600,13693.5498
2005-04-25,13802.42969,13711.38965,13744.4502,13750.23047,255959400,13750.23047
2005-04-26,13919.51953,13719.80957,13768.73047,13859.58008,389263800,13859.58008
2005-04-27,13847.38965,13799.65039,13832.80957,13839.63965,177705600,13839.63965
2005-04-28,13956.51953,13813.67969,13813.67969,13909.41992,339914600,13909.41992
2005-04-29,13913.09961,13801.17969,13829.4502,13908.96973,309020000,13908.96973
2005-05-03,13994.66016,13877.91992,13969.63965,13893.98047,231424400,13893.98047
2005-05-04,13981.78027,13917.7002,13958.17969,13945.0498,245271200,13945.0498
2005-05-05,14110.29004,14021.92969,14056.92969,14061.7002,313172200,14061.7002
2005-05-06,14095.84961,14004.07031,14041.29004,14033.95996,272557800,14033.95996
2005-05-09,14106.53027,14006.84961,14068.25977,14085.08984,283408200,14085.08984
2005-05-10,14112.61035,13991.19043,14097.19043,14018.37988,235428800,14018.37988
2005-05-11,13973.62012,13895.26953,13959.29004,13939.7998,206986600,13939.7998
2005-05-12,13984.34961,13928.07031,13968.9502,13968.28027,194130600,13968.28027
2005-05-13,13921.41992,13841.86035,13907.16016,13866.80957,223792600,13866.80957
2005-05-17,13863.16016,13626.63965,13861.59961,13667.03027,401396200,13667.03027
2005-05-18,13668.42969,13590.0498,13648.25977,13627.00977,271572400,13627.00977
2005-05-19,13747.96973,13645.08008,13676.87012,13698.92969,253528600,13698.92969
2005-05-20,13723.82031,13642.83984,13715.65039,13717.41992,201016800,13717.41992
2005-05-23,13730.08984,13632.23047,13730.08984,13699.12988,163988800,13699.12988
2005-05-24,13726.15039,13677.33984,13703.13965,13719.32031,158187200,13719.32031
2005-05-25,13717.07031,13542.48047,13715.08984,13562.05957,294308800,13562.05957
2005-05-26,13590.61035,13541.76953,13569.25977,13569.99023,182625600,13569.99023
2005-05-27,13739.2002,13669.2002,13671.63965,13714.78027,218391000,13714.78027
2005-05-30,13851.33008,13684.51953,13741.28027,13845.09961,255851000,13845.09961
2005-05-31,13932.91992,13779.7998,13815.73047,13867.07031,348640200,13867.07031
2005-06-01,13895.33008,13813.69043,13817.26953,13873.07031,302359400,13873.07031
2005-06-02,13946.00977,13779.7998,13942.95996,13814.58008,325242400,13814.58008
2005-06-03,13870.49023,13792.65039,13821.9502,13818.4502,297765200,13818.4502
2005-06-06,13862.62012,13745.67969,13768.03027,13860.5498,265783800,13860.5498
2005-06-07,13846.2998,13800.08984,13806,13837.29004,258052800,13837.29004
2005-06-08,13938.79004,13842.00977,13868.13965,13898.5498,421819800,13898.5498
2005-06-09,13984.33984,13876.58008,13884.21973,13898.30957,419254400,13898.30957
2005-06-10,13972.70996,13916.86035,13927.00977,13934.75977,326592000,13934.75977
2005-06-13,13978.63965,13898.45996,13948.41992,13952.01953,209902000,13952.01953
2005-06-14,13999.05957,13901.49023,13954.74023,13904.80957,299700600,13904.80957
2005-06-15,13953.03027,13870.23047,13932.84961,13914.2998,284969400,13914.2998
2005-06-16,13909.75,13801.41992,13909.75,13833.53027,258611600,13833.53027
2005-06-17,13926.58984,13847.5,13866.79004,13912.03027,412312000,13912.03027
2005-06-20,13966.91016,13908.7002,13928.70996,13945.76953,246064200,13945.76953
2005-06-21,13983.48047,13890.78027,13935.29004,13979.34961,276460400,13979.34961
2005-06-22,14183.38965,13995.63965,13995.63965,14161.01953,666237800,14161.01953
2005-06-23,14233.80957,14157.00977,14197.00977,14190.44043,543943400,14190.44043
2005-06-24,14230.29004,14108.38965,14141.66016,14230.29004,536796400,14230.29004
2005-06-27,14202.98047,14142.13965,14142.49023,14176.04004,319765800,14176.04004
2005-06-28,14287.44043,14174.79004,14206.80957,14287.44043,602401600,14287.44043
2005-06-29,14365.0498,14247.04004,14313.99023,14277.28027,543705000,14277.28027
2005-06-30,14310.76953,14154.7002,14281.46973,14201.05957,406370800,14201.05957
2005-07-04,14188.46973,14122.96973,14188.34961,14177.87012,362865800,14177.87012
2005-07-05,14161,14101.55957,14146.44043,14124.7998,333218800,14124.7998
2005-07-06,14202.08984,14126.86035,14170.70996,14149.92969,427336800,14149.92969
2005-07-07,14156.91992,14006.75,14146.24023,14030.80957,482251200,14030.80957
2005-07-08,14053.20996,13920.87012,14014.7998,13964.46973,340661000,13964.46973
2005-07-11,14157.24023,14047.00977,14065.33984,14157.24023,338976200,14157.24023
2005-07-12,14215.48047,14094.7002,14214.87988,14146.9502,332181200,14146.9502
2005-07-13,14308.37012,14140.40039,14170.30957,14307.2998,378495400,14307.2998
2005-07-14,14497.42969,14389.37012,14389.37012,14491.54004,616934800,14491.54004
2005-07-15,14550.16992,14444.58008,14489.83984,14504.29004,658528400,14504.29004
2005-07-18,14578.69043,14487.87012,14496.5498,14567,325610600,14567
2005-07-19,14625.08008,14493.26953,14493.26953,14567.74023,454201200,14567.74023
2005-07-20,14673.83008,14567.01953,14584.05957,14602.7002,428144000,14602.7002
2005-07-21,14691.74023,14560.45996,14660.75977,14620.13965,404305000,14620.13965
2005-07-22,14800.30957,14655.44043,14744.51953,14786.45996,593108000,14786.45996
2005-07-25,14841.58008,14768.78027,14794.92969,14794.03027,388280000,14794.03027
2005-07-26,14840.44043,14744.38965,14818.79004,14769.92969,289148400,14769.92969
2005-07-27,14828.01953,14743.69043,14786.9502,14801.86035,374516000,14801.86035
2005-07-28,14899.70996,14771.16016,14836.2998,14813.32031,352640800,14813.32031
2005-07-29,14892.29004,14838.16016,14863.50977,14880.98047,412972800,14880.98047
2005-08-01,14989.46973,14841.12012,14892.73047,14978.87988,331918200,14978.87988
2005-08-02,15167.71973,15046.83984,15068.21973,15137.08008,555043400,15137.08008
2005-08-03,15201.82031,15035.37012,15197.05957,15118.5,537270000,15118.5
2005-08-04,15186.11035,15076.4502,15101.59961,15111.54004,412126600,15111.54004
2005-08-05,15083.50977,14972.51953,15054.62988,15051.32031,342387400,15051.32031
2005-08-08,15117.91016,15024.54004,15033.98047,15108.94043,226935800,15108.94043
